French,English
partie,part
chercher,search
police,police
aide,help
genre,kind
mois,month
laisser,let
mettre,to put
aucun,no
laisse,leash
parlé,speak
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
pourrais,could
type,type
leurs,their
donné,given
train,train
corps,body
trouve,find
premier,first
main,hand
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
attendez,Wait
parti,left
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
