French,English
histoire,history
police,police
genre,kind
mois,month
laisser,let
mettre,to put
laisse,leash
eux,them
ville,city
devrait,should
longtemps,long time
heures,hours
vont,will
étaient,were
attention,Warning
voici,here is
leurs,their
corps,body
yeux,eyes
façon,way
écoute,listen
perdu,lost
première,first
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
nouvelle,new
dirait,would say
compte,account
donne,given
loin,far
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
